name,coordinates,region,description,location
The Cat Cafe,"1.3578429,103.7679964",central,The Cat Cafe at The Rail Mall is home to 14 rescue cats with age ranging from 4+ to 6+ years old with great personalities. Experience a relaxing time in a cozy cat cafe or choose the option of a memorable art jamming session with our cats!,241B Victoria St (Singapore 188030)
The Cat Cafe x Art Jamming,"1.3003098,103.8526282",central,The Cat Cafe at Bugis is home to 15 rescue cats with age ranging from 8 months to 17 years old+. You will experience a good mix of cats with playful energy to calm and matured personalities in a chill and cozy cafe.,392 Upper Bukit Timah Rd (Singapore 678046)
Meownistry of Meow,"1.3041615,103.8599587",central,We are a cat-friendly co-working space for you to work or play with cats! Feel totally at home with us as you relax whilst a purring kitty lies next to you. Our lounge is made with equal parts open co-working space and foster home. This is a perfect haven for you to catch up with friends after work and pet a kitty while you unwind.,4A Jln Klapa (Singapore 199316)
Tomoro Coffee (The LINQ),"1.3409551,103.7763246",central,An Indonesian coffee chain known for high-quality and affordable coffee with a variety of modern brews,118 Upper Bukit Timah Rd (Singapore 588173)
Tomoro Coffee (PLQ 3),"1.3164726,103.8936185",central,"An Indonesian coffee chain known for high-quality, affordable coffee and a variety of modern brews",2 Tanjong Katong Rd (Singapore 437161)
The Coach Restaurant ,"1.3538046,103.9887531",central,A modern new york stakehouse in Singapore,78 Airport Blvd (Singapore 819666)
Nuldam space,"1.30128,103.83583",central,a cafe that serves vegan drinks and desserts and lets you write letters to your future self,Orchard Link 2号 The SCAPE #02-14/15 (Singapore 237978)
La vache!,"1.2824319,103.8471348",central,A parisian entrecôte steakhouse.,40 Gemmill Ln #01-03 (Singapore 069269)
Fortuna terrazza,"1.2777669,103.8427674",central,"mediterranean seafood, fresh pastas and pizzas, complemented by rich, seasonal ingredients",10 Craig Road (Singapore 089670)
Fernweh,"1.2825539,103.8457012",central,"work-friendly cafe in chinatown featuring pet-friendly outdoor seating, complimentary wi-fi, and accessible power",237 South Bridge Road (Singapore 058786)
Styxx,"1.2805135,103.8419283",central,"newest skewers and grill bar by the founders of leila
",18 Teck Lim Road (Singapore 088390)
Nikuya Tanaka,"1.28967,103.85007",central,ranked japan's no.1 steakhouse,1 Teck Lim Road (Singapore 088379)
